year,avg_temp,avg_temp1,avg_temp2,sun,sun1,sun2,sun3,avg_wind,avg_wind1,avg_wind2,avg_cloud_quantity,avg_cloud_quantity1,avg_cloud_quantity2,rain_sum,rain_sum1,rain_sum2,rain_sum3,Year
2008/11/1,13,8,1,139.6,0,8,1,3.3,8,1,6.3,8,1,80.5,0,8,1,
2008/12/1,9.7,8,1,194.7,0,8,1,3.3,8,1,4.1,8,1,80.5,0,8,1,
2009/1/1,6.7,8,1,170.7,0,8,1,3.4,8,1,5.7,8,1,150,0,8,1,
2009/2/1,7.8,8,1,122.6,0,8,1,3.5,8,1,7,8,1,68.5,0,8,1,
2009/3/1,9.7,8,1,159.3,0,5,1,4,8,1,6.7,8,1,104,0,8,1,
2009/4/1,15.3,8,1,232.8,0,8,1,3.4,8,1,5.4,8,1,163,0,8,1,
2009/5/1,19.4,8,1,163.9,0,8,1,3.6,8,1,8.5,8,1,256,0,8,1,
2009/6/1,21.8,8,1,103.5,0,8,1,2.9,8,1,9,8,1,218,0,8,1,
2009/7/1,25.3,8,1,111.9,0,8,1,3.8,8,1,9.1,8,1,112.5,0,8,1,
2009/8/1,26.1,8,1,186.8,0,8,1,2.9,8,1,7.8,8,1,226,0,8,1,
2009/9/1,22.6,8,1,150.8,0,8,1,2.8,8,1,7.8,8,1,41.5,0,8,1,
2009/10/1,18.5,8,1,150.4,0,8,1,3.2,8,1,6.5,8,1,297,0,8,1,
2009/11/1,13.2,8,1,122.5,0,8,1,3.2,8,1,7.1,8,1,180,0,8,1,
2009/12/1,9,8,1,178.9,0,5,1,3.5,8,1,4.9,8,1,77.5,0,8,1,
2010/1/1,7.1,8,1,223.7,0,8,1,3.3,8,1,4.2,8,1,12,0,8,1,
2010/2/1,6.6,8,1,118.5,0,8,1,3.2,8,1,6.9,8,1,138,0,8,1,
2010/3/1,9.1,8,1,144.9,0,8,1,4,8,1,7.2,8,1,211,0,8,1,
2010/4/1,12.2,8,1,131.4,0,8,1,3.8,8,1,8.6,8,1,234,0,8,1,
2010/5/1,18.4,8,1,195.7,0,8,1,3.5,8,1,7.8,8,1,102.5,0,8,1,
2010/6/1,22.8,8,1,170.8,0,8,1,3.3,8,1,7.8,8,1,141,0,8,1,
2010/7/1,27.1,8,1,216,0,8,1,3.8,8,1,7.9,8,1,110,0,8,1,
2010/8/1,28.6,8,1,259,0,8,1,3.6,8,1,5.8,8,1,56.5,0,8,1,
2010/9/1,24.7,8,1,183.1,0,8,1,3.2,8,1,7.2,8,1,374,0,8,1,
2010/10/1,18.6,8,1,91.9,0,8,1,3.2,8,1,8.5,8,1,208.5,0,8,1,
2010/11/1,13.4,8,1,161.1,0,8,1,2.9,8,1,5.7,8,1,96,0,8,1,
2010/12/1,9.9,8,1,197.9,0,8,1,3.4,8,1,4.6,8,1,172,0,8,1,
2011/1/1,5.3,8,1,241.8,0,8,1,3.2,8,1,3.7,8,1,0,0,8,1,
2011/2/1,7.2,8,1,146,0,8,1,3.7,8,1,6,8,1,138.5,0,8,1,
2011/3/1,8.1,5,1,213.3,0,5,1,3.9,5,1,5.4,8,1,86.5,0,5,1,
2011/4/1,14.5,8,1,220.9,0,8,1,4.5,8,1,6.2,8,1,77,0,8,1,
2011/5/1,18.2,8,1,157.9,0,8,1,3.6,8,1,7.9,8,1,251.5,0,8,1,
2011/6/1,22.4,8,1,121.1,0,8,1,3.2,8,1,8.9,8,1,199,0,8,1,
2011/7/1,26.7,8,1,204.1,0,8,1,3.9,8,1,7,8,1,71,0,8,1,
2011/8/1,27.1,8,1,203.9,0,8,1,3.1,8,1,7.8,8,1,165,0,8,1,
2011/9/1,24.9,8,1,203.8,0,8,1,3.8,8,1,7,8,1,212.5,0,8,1,
2011/10/1,19.2,8,1,152.1,0,8,1,3.5,8,1,7.6,8,1,149,0,8,1,
2011/11/1,14.8,8,1,142.7,0,8,1,2.9,8,1,7.1,8,1,155.5,0,8,1,
2011/12/1,7.5,8,1,180.7,0,8,1,3.3,8,1,4.9,8,1,51.5,0,8,1,
2012/1/1,4.8,8,1,168.9,0,8,1,3.7,8,1,5.9,8,1,24.5,0,8,1,
2012/2/1,5.4,8,1,144.7,0,8,1,3.6,8,1,6.8,8,1,129,0,8,1,
2012/3/1,8.6,8,1,148.7,0,8,1,3.8,8,1,6.8,8,1,217,0,8,1,
2012/4/1,14,8,1,174.5,0,8,1,3.8,8,1,7.3,8,1,202,0,8,1,
2012/5/1,18.9,8,1,204.9,0,8,1,3.5,8,1,7.5,8,1,237.5,0,8,1,
2012/6/1,20.8,8,1,128.7,0,8,1,3.2,8,1,9.3,8,1,233.5,0,8,1,
2012/7/1,25.5,8,1,195.2,0,8,1,3.6,8,1,8.5,8,1,146,0,8,1,
2012/8/1,28.1,8,1,273.3,0,8,1,3.4,8,1,6.2,8,1,18,0,8,1,
2012/9/1,25.4,8,1,188.6,0,8,1,3.5,8,1,8.2,8,1,342,0,8,1,
2012/10/1,19,8,1,173.7,0,8,1,3.7,8,1,6.8,8,1,167,0,8,1,
2012/11/1,12.4,8,1,160.6,0,8,1,3.4,8,1,5.6,8,1,179,0,8,1,
2012/12/1,7.2,8,1,163.2,0,8,1,3.7,8,1,5.1,8,1,102,0,8,1,
2013/1/1,5.4,8,1,218.7,0,8,1,3.7,8,1,4.5,8,1,73.5,0,8,1,
2013/2/1,5.8,8,1,152.2,0,8,1,4,8,1,6.1,8,1,56.5,0,8,1,
2013/3/1,12,8,1,196.5,0,8,1,4.3,8,1,6.7,8,1,26.5,0,8,1,
